Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
21.04.2019;Fracht Cargo;0;;
21.04.2019;Andere Kategorien;0;0;27
21.04.2019;Fracht Express;0;;
22.04.2019;Fracht Express;0;;
22.04.2019;Andere Kategorien;7;0;48
22.04.2019;Passagierverkehr;29818;0;224
22.04.2019;Fracht Cargo;0;;
23.04.2019;Passagierverkehr;26107;0;213
23.04.2019;Fracht Express;0;166;16
23.04.2019;Andere Kategorien;20;0;52
23.04.2019;Fracht Cargo;0;;
24.04.2019;Andere Kategorien;7;0;46
24.04.2019;Fracht Express;0;204;20
24.04.2019;Fracht Cargo;0;46;2
24.04.2019;Passagierverkehr;26839;0;231
25.04.2019;Fracht Cargo;0;;
25.04.2019;Passagierverkehr;28396;1;227
25.04.2019;Fracht Express;0;219;20
25.04.2019;Andere Kategorien;1;0;45
26.04.2019;Passagierverkehr;31362;0;247
26.04.2019;Fracht Express;0;164;14
26.04.2019;Andere Kategorien;1;0;45
26.04.2019;Fracht Cargo;0;48;2
27.04.2019;Passagierverkehr;29196;0;215
27.04.2019;Fracht Express;0;45;4
27.04.2019;Fracht Cargo;0;82;4
27.04.2019;Andere Kategorien;3;0;32
28.04.2019;Passagierverkehr;30989;0;229
28.04.2019;Fracht Cargo;0;12;2
28.04.2019;Andere Kategorien;2;0;53
28.04.2019;Fracht Express;0;;
29.04.2019;Fracht Cargo;0;68;4
29.04.2019;Passagierverkehr;28186;0;235
29.04.2019;Fracht Express;0;157;14
29.04.2019;Andere Kategorien;22;0;55
30.04.2019;Passagierverkehr;23899;0;209
30.04.2019;Fracht Express;0;219;20
30.04.2019;Andere Kategorien;6;0;40
30.04.2019;Fracht Cargo;0;;
01.05.2019;Passagierverkehr;26422;0;215
01.05.2019;Fracht Express;0;110;12
01.05.2019;Andere Kategorien;1;;86
01.05.2019;Fracht Cargo;0;37;2
02.05.2019;Fracht Cargo;0;;
02.05.2019;Passagierverkehr;25636;0;231
02.05.2019;Fracht Express;0;187;20
02.05.2019;Andere Kategorien;19;;47
03.05.2019;Passagierverkehr;29727;1;243
03.05.2019;Fracht Express;0;155;14
03.05.2019;Andere Kategorien;4;;27
03.05.2019;Fracht Cargo;0;47;2
04.05.2019;Passagierverkehr;27265;2;215
04.05.2019;Andere Kategorien;0;;29
04.05.2019;Fracht Express;0;31;4
04.05.2019;Fracht Cargo;0;44;4
05.05.2019;Fracht Cargo;0;12;2
05.05.2019;Andere Kategorien;0;;12
05.05.2019;Passagierverkehr;30465;0;233
05.05.2019;Fracht Express;0;;
06.05.2019;Passagierverkehr;27539;0;231
06.05.2019;Fracht Express;0;147;14
06.05.2019;Fracht Cargo;0;24;2
06.05.2019;Andere Kategorien;5;;64
07.05.2019;Fracht Express;0;210;22
07.05.2019;Andere Kategorien;22;;85
07.05.2019;Passagierverkehr;22760;0;224
07.05.2019;Fracht Cargo;0;;
08.05.2019;Fracht Cargo;0;39;2
08.05.2019;Andere Kategorien;9;;16
08.05.2019;Passagierverkehr;24838;1;229
08.05.2019;Fracht Express;0;197;18
09.05.2019;Andere Kategorien;1;;9
09.05.2019;Passagierverkehr;21996;2;202
09.05.2019;Fracht Express;0;214;18
09.05.2019;Fracht Cargo;0;0;1
10.05.2019;Passagierverkehr;30441;1;251
10.05.2019;Fracht Cargo;0;49;3
10.05.2019;Fracht Express;0;163;17
10.05.2019;Andere Kategorien;5;;65
11.05.2019;Andere Kategorien;2;;14
11.05.2019;Fracht Express;0;37;5
11.05.2019;Passagierverkehr;27137;3;223
11.05.2019;Fracht Cargo;0;75;4
12.05.2019;Passagierverkehr;29491;0;233
12.05.2019;Andere Kategorien;5;;40
12.05.2019;Fracht Express;0;;
12.05.2019;Fracht Cargo;0;7;2
13.05.2019;Passagierverkehr;26772;0;244
13.05.2019;Fracht Express;0;161;12
13.05.2019;Fracht Cargo;0;85;4
13.05.2019;Andere Kategorien;16;;47
14.05.2019;Andere Kategorien;13;;78
14.05.2019;Passagierverkehr;21488;0;221
14.05.2019;Fracht Express;0;208;20
14.05.2019;Fracht Cargo;0;;
15.05.2019;Fracht Cargo;0;41;2
15.05.2019;Andere Kategorien;10;;79
15.05.2019;Fracht Express;0;221;20
15.05.2019;Passagierverkehr;23059;1;233
16.05.2019;Passagierverkehr;25646;2;225
16.05.2019;Fracht Express;0;229;20
16.05.2019;Fracht Cargo;0;;
16.05.2019;Andere Kategorien;14;;69
17.05.2019;Fracht Cargo;0;56;2
17.05.2019;Passagierverkehr;30119;1;252
17.05.2019;Fracht Express;0;170;15
17.05.2019;Andere Kategorien;22;;65
18.05.2019;Fracht Cargo;0;72;4
18.05.2019;Passagierverkehr;27333;3;221
18.05.2019;Fracht Express;0;50;4
18.05.2019;Andere Kategorien;4;;76
19.05.2019;Passagierverkehr;29815;;244
19.05.2019;Fracht Express;0;;
19.05.2019;Fracht Cargo;0;78;4
19.05.2019;Andere Kategorien;13;;33
20.05.2019;Passagierverkehr;27593;0;226
